Skipped LLM_code/arxiv_dataset/2023/Q4/CAN/models/eval_for_leaderboard.py: invalid syntax (<unknown>, line 81)
Skipped LLM_code/arxiv_dataset/2021/Q2/VERNet/m2scorer/scripts/levenshtein.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 71)
Skipped LLM_code/arxiv_dataset/2021/Q2/VERNet/m2scorer/scripts/m2scorer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 139)
Skipped LLM_code/arxiv_dataset/2021/Q2/VERNet/m2scorer/scripts/token_offsets.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 43)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_example_script/{{cookiecutter.directory_name}}/run_{{cookiecutter.example_shortcut}}.py: invalid syntax (<unknown>, line 34)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/__init__.py: invalid syntax (<unknown>, line 19)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/configuration_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_tf_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/test_modeling_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 18)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/to_replace_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_fast_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2021/Q2/xl-sum/seq2seq/transformers/templates/adding_a_new_model/cookiecutter-template-{{cookiecutter.modelname}}/tokenization_{{cookiecutter.lowercase_modelname}}.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2021/Q2/Shallow-Aggressive-Decoding/fairseq/examples/adaptive_span/truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/SSTAP/data/activitynet_feature_cuhk/data_process.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 127)
Skipped LLM_code/arxiv_dataset/2021/Q2/UGDSRE/initialize_biomedical_part1.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 86)
Skipped LLM_code/arxiv_dataset/2021/Q2/UGDSRE/initialize_biomedical_part2.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 42)
Skipped LLM_code/arxiv_dataset/2021/Q2/NAS-with-Proxy-data/test.py: invalid syntax (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2021/Q2/NAS-with-Proxy-data/test_imagenet.py: invalid syntax (<unknown>, line 94)
