Skipped LLM_code/arxiv_dataset/2020/Q1/A-Two-Step-Disentanglement-Method/DisAdvNet.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/utils/read_tf_records.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 152)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/utils/create_tf_records_knn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 184)
Skipped LLM_code/arxiv_dataset/2020/Q2/ContourNet/maskrcnn_benchmark/data/datasets/evaluation/word/util/caffe_.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 29)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/utils/create_tf_records.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/utils/helper_funcs.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 311)
Skipped LLM_code/arxiv_dataset/2020/Q2/CrowdDetection/megvii/retinanet/res50.retinanet.fpn.one.head.iou.inference.baseline/train_net.py: invalid decimal literal (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2020/Q2/ContourNet/maskrcnn_benchmark/data/datasets/evaluation/word/util/logger.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 74)
Skipped LLM_code/arxiv_dataset/2020/Q2/CrowdDetection/megvii/retinanet/res50.retinanet.fpn.one.head.iou.inference.baseline/network.py: invalid decimal literal (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q2/Regularized_autoencoders-RAE-/precision_recall_distributions/prd_from_image_folders.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2020/Q2/CrowdDetection/megvii/retinanet/res50.retinanet.fpn.one.head.iou.inference.baseline/config.py: invalid decimal literal (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/chamfer_utils/tf_nndistance.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 63)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/evaluation/pcl_loss_saved.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 139)
Skipped LLM_code/arxiv_dataset/2020/Q2/CrowdDetection/megvii/retinanet/res50.retinanet.fpn.one.head.iou.inference.baseline/demo.py: invalid decimal literal (<unknown>, line 95)
Skipped LLM_code/arxiv_dataset/2020/Q2/CrowdDetection/megvii/retinanet/res50.retinanet.fpn.one.head.iou.inference.baseline/test_net.py: invalid decimal literal (<unknown>, line 15)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/evaluation/align_pcl_transform.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 127)
Skipped LLM_code/arxiv_dataset/2020/Q2/ssl_3d_recon/src/evaluation/save_pcl.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 90)
Skipped LLM_code/arxiv_dataset/2020/Q2/PypeIt/deprecated/arc_old.py: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 233)
Skipped LLM_code/arxiv_dataset/2020/Q2/ContourNet/maskrcnn_benchmark/data/datasets/evaluation/word/util/thread_.py: invalid syntax (<unknown>, line 35)
Skipped LLM_code/arxiv_dataset/2020/Q2/ContourNet/maskrcnn_benchmark/data/datasets/evaluation/word/util/proc.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 25)
Skipped LLM_code/arxiv_dataset/2020/Q2/COVID19-LockdownFr/hydrate-notdqm.py: unterminated string literal (detected at line 20) (<unknown>, line 20)
Skipped LLM_code/arxiv_dataset/2020/Q2/QAGS/QAM/a2_dq_2q/qamdq_a2.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/cascaded-point-completion/tf_ops/grouping/test_knn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2020/Q2/cascaded-point-completion/tf_ops/grouping/tf_grouping_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2020/Q2/bst/run_exp02_speech.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 26)
Skipped LLM_code/arxiv_dataset/2020/Q2/bst/run_exp02_finance.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2020/Q2/bst/run_exp01.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 59)
Skipped LLM_code/arxiv_dataset/2020/Q2/bst/run_exp03.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 105)
Skipped LLM_code/arxiv_dataset/2020/Q2/bst/node_class.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 233)
Skipped LLM_code/arxiv_dataset/2020/Q2/bst/example.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 90)
Skipped LLM_code/arxiv_dataset/2020/Q2/ReCO/BiDAF/inference.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 43)
Skipped LLM_code/arxiv_dataset/2020/Q2/NetworkAdjustment/model/trian_and_infer.py: invalid syntax (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2020/Q2/ReCO/BiDAF/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 74)
Skipped LLM_code/arxiv_dataset/2020/Q2/ReCO/BiDAF/preprocess.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2020/Q2/GCAN/Training.py: expected argument value expression (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2020/Q2/GCAN/model/GCAN.py: invalid syntax (<unknown>, line 180)
Skipped LLM_code/arxiv_dataset/2020/Q2/GCAN/data/data_preparation.py: invalid syntax (<unknown>, line 87)
Skipped LLM_code/arxiv_dataset/2020/Q2/PREVALENT/preprocess/download_mp.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 69)
Skipped LLM_code/arxiv_dataset/2020/Q2/PREVALENT/preprocess/precompute_img_features_bottom-up.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 43)
Skipped LLM_code/arxiv_dataset/2020/Q2/PREVALENT/scripts/precompute_img_features.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 56)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/setup.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/training.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/main.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/lss_montepython/montepython/likelihoods/euclid_B1loop/__init__.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 15)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/optim/optimization.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/utils/np_utils.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/utils/logger.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/utils/randomness.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/utils/config.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/utils/system.py: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/utils/analyze_results.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/utils/vis.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/trainer/losses.py: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/trainer/base_train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/lss_montepython/montepython/likelihoods/euclid_Btree/__init__.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 15)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/trainer/metric.py: leading zeros in decimal integer literals are not permitted; use an 0o prefix for octal integers (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/datasets/data_provider.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/lss_montepython/montepython/likelihoods/boss_bao_only/__init__.py: Contains null bytes
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/datasets/sampler.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/datasets/digits.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/datasets/data_list.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/datasets/image_index.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/evaluator/evaluate.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/models/__init__.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/models/MDD.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/models/backbone.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/implicit_alignment/ai/domain_adaptation/models/abstract.py: invalid decimal literal (<unknown>, line 2)
Skipped LLM_code/arxiv_dataset/2020/Q2/PhaseTracer/example/xSM/random_scan.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 8)
Skipped LLM_code/arxiv_dataset/2020/Q2/SafeML/Implementation_in_Python/Kuiper_Dist_PVal.py: unindent does not match any outer indentation level (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q2/FreeLB/fairseq-RoBERTa/fairseq_cli/score.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/SafeML/Implementation_in_Python/Anderson_Darling_Dist_PVal.py: expected an indented block after 'if' statement on line 32 (<unknown>, line 33)
Skipped LLM_code/arxiv_dataset/2020/Q2/FreeLB/fairseq-RoBERTa/fairseq_cli/generate.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/SafeML/Implementation_in_Python/ChernoffDistance.py: unexpected indent (<unknown>, line 28)
Skipped LLM_code/arxiv_dataset/2020/Q2/FreeLB/fairseq-RoBERTa/fairseq_cli/eval_lm.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/FreeLB/fairseq-RoBERTa/fairseq_cli/setup.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/FreeLB/fairseq-RoBERTa/fairseq_cli/interactive.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/FreeLB/fairseq-RoBERTa/fairseq_cli/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/FreeLB/fairseq-RoBERTa/fairseq_cli/preprocess.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q2/SafeML/SafeML/Kuiper_Dist_PVal.py: unindent does not match any outer indentation level (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q2/Codes-for-IntRA-KD/train_pspnet.py: invalid syntax (<unknown>, line 157)
Skipped LLM_code/arxiv_dataset/2020/Q2/Codes-for-IntRA-KD/train_erfnet_vanilla.py: invalid syntax (<unknown>, line 158)
Skipped LLM_code/arxiv_dataset/2020/Q2/MLGaze/feature_selection_random_forest.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 33)
Skipped LLM_code/arxiv_dataset/2020/Q2/MLGaze/train_knn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2020/Q2/MLGaze/train_SVM.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q2/MLGaze/train_mlp.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 50)
Skipped LLM_code/arxiv_dataset/2020/Q2/MLGaze/create_features.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 95)
Skipped LLM_code/arxiv_dataset/2020/Q2/MLGaze/regression_models.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 137)
Skipped LLM_code/arxiv_dataset/2020/Q2/ALICE/python/taint_mem.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 217)
Skipped LLM_code/arxiv_dataset/2020/Q2/ALICE/python/scope.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 169)
Skipped LLM_code/arxiv_dataset/2020/Q2/ALICE/python/taint_triton_pin.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 260)
Skipped LLM_code/arxiv_dataset/2020/Q2/ALICE/python/locator.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 85)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_noncau_parallel.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 71)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/NextitNet_TF_Pretrain_topk.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 51)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/NextitNet_TF_Pretrain.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 51)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_cau_serial.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/GRec_TF_FineAll.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 35)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/GRec_TF_Pretrain_topk.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 38)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_cau_parallel.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/GRec_TF_Pretrain.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 38)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/NextitNet_TF_FineAll.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 38)
Skipped LLM_code/arxiv_dataset/2020/Q2/darknet/scripts/reval_voc.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_noncau_parallel_classifier.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 71)
Skipped LLM_code/arxiv_dataset/2020/Q2/sigir2020_peterrec/PeterRec_cau_serial_lambdafm.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2020/Q2/darknet/scripts/voc_eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 111)
Skipped LLM_code/arxiv_dataset/2020/Q2/AIC2020_ReID/global_model/reid/extract_attribute.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 38)
Skipped LLM_code/arxiv_dataset/2020/Q3/Weakly-supervised-Functional-map/loss.py: unmatched ')' (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2020/Q3/DeepKNNDefense/FeatureCollision_AlexNet/poisoin-end-to-end-training-CIFAR10-master/find_closest_3.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 49)
Skipped LLM_code/arxiv_dataset/2020/Q3/DeepKNNDefense/FeatureCollision_AlexNet/poisoin-end-to-end-training-CIFAR10-master/utils_cifar10_for_multiPoison.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 315)
Skipped LLM_code/arxiv_dataset/2020/Q3/Brain-Midline-Detection/lib/utils/dicom.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 43)
Skipped LLM_code/arxiv_dataset/2020/Q3/exploring_exploration/pretrain_reconstruction.py: unindent does not match any outer indentation level (<unknown>, line 109)
Skipped LLM_code/arxiv_dataset/2020/Q3/uniloss/pose/example/train_mpii.py: invalid syntax (<unknown>, line 160)
Skipped LLM_code/arxiv_dataset/2020/Q3/uniloss/pose/example/train_mse.py: invalid syntax (<unknown>, line 158)
Skipped LLM_code/arxiv_dataset/2020/Q3/AOQ/coco-caption/pyciderevalcap/eval.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 9)
Skipped LLM_code/arxiv_dataset/2020/Q3/LESRCNN/x2/solver.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 187)
Skipped LLM_code/arxiv_dataset/2020/Q3/LESRCNN/x4/solver.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 187)
Skipped LLM_code/arxiv_dataset/2020/Q3/UCNet/test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 39)
Skipped LLM_code/arxiv_dataset/2020/Q3/LESRCNN/lesrcnn_b/solver.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 187)
Skipped LLM_code/arxiv_dataset/2020/Q3/LESRCNN/lesrcnn_b/tcw_sample_b.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 236)
Skipped LLM_code/arxiv_dataset/2020/Q3/LESRCNN/x3/solver.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 187)
Skipped LLM_code/arxiv_dataset/2020/Q3/LESRCNN/x3/tcw_sample.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 195)
Skipped LLM_code/arxiv_dataset/2020/Q3/Competitive-Emergent-Communication/chatbots.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2020/Q3/Competitive-Emergent-Communication/eval.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 36)
Skipped LLM_code/arxiv_dataset/2020/Q3/Competitive-Emergent-Communication/options.py: multiple exception types must be parenthesized (<unknown>, line 58)
Skipped LLM_code/arxiv_dataset/2020/Q3/Cox-nnet-v2.0/Cox-nnet-v2.0/cox_nnet_v2.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 332)
Skipped LLM_code/arxiv_dataset/2020/Q3/Competitive-Emergent-Communication/parse.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q3/Competitive-Emergent-Communication/plot.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 48)
Skipped LLM_code/arxiv_dataset/2020/Q3/Competitive-Emergent-Communication/coorperative_baselines/chatbots.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2020/Q3/Competitive-Emergent-Communication/coorperative_baselines/options.py: multiple exception types must be parenthesized (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2020/Q3/Mutationpp/thirdparty/eigen/scripts/relicense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2020/Q3/FQ-GAN/FQ-StyleGAN/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q3/Prior-Guided-RGF/nets/mobilenet_v1_test.py: invalid decimal literal (<unknown>, line 300)
Skipped LLM_code/arxiv_dataset/2020/Q3/MMTOD/lib/model/faster_rcnn/._resnet.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2020/Q3/MMTOD/lib/model/utils/._net_utils.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2020/Q3/Mutationpp/thirdparty/catch/scripts/releaseNotes.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2020/Q3/MMTOD/lib/model/cgan/options/._base_options.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2020/Q3/MMTOD/lib/model/cgan/options/._train_options.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2020/Q3/semantic-structural-sentences/align/align_models/UnsupervisedMapper.py: expected an indented block after 'elif' statement on line 177 (<unknown>, line 179)
Skipped LLM_code/arxiv_dataset/2020/Q3/EdgeML/cpp/eigen/scripts/relicense.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2020/Q3/MCIS_wsss/segmentation/tools/extra/summarize.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2020/Q3/MCIS_wsss/segmentation/tools/extra/parse_log.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 163)
Skipped LLM_code/arxiv_dataset/2020/Q3/MCIS_wsss/segmentation/tools/extra/resize_and_crop_images.py: multiple exception types must be parenthesized (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2020/Q3/Face-Sketch/sketch_generate.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 97)
Skipped LLM_code/arxiv_dataset/2020/Q3/MCIS_wsss/segmentation/src/caffe/test/test_data/generate_sample_data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2020/Q3/Face-Sketch/train_content_net.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 44)
Skipped LLM_code/arxiv_dataset/2020/Q3/Patch-as-translation/Model/data_reader.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2020/Q3/Face-Sketch/style_generate.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 143)
Skipped LLM_code/arxiv_dataset/2020/Q3/Face-Sketch/utils/content_model.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 145)
Skipped LLM_code/arxiv_dataset/2020/Q3/DADA/search_gumbel/train.py: invalid syntax (<unknown>, line 119)
Skipped LLM_code/arxiv_dataset/2020/Q3/covid19_weak_supervision/src/models/networks/detr/segmentation.py: invalid syntax (<unknown>, line 13)
Skipped LLM_code/arxiv_dataset/2020/Q3/DADA/search_relax/train.py: invalid syntax (<unknown>, line 119)
Skipped LLM_code/arxiv_dataset/2020/Q3/characterizing-sampling-algorithms/code/lm_metrics.py: expected an indented block after function definition on line 3 (<unknown>, line 6)
Skipped LLM_code/arxiv_dataset/2020/Q3/D-AMP_Toolbox/LDAMP_TensorFlow/TrainLearnedDAMP.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 376)
Skipped LLM_code/arxiv_dataset/2020/Q3/D-AMP_Toolbox/LDAMP_TensorFlow/TrainDnCNN.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 192)
Skipped LLM_code/arxiv_dataset/2020/Q3/D-AMP_Toolbox/LDAMP_TensorFlow/LearnedDAMP.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q3/CAD-PU/tf_ops/grouping/test_knn.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 10)
Skipped LLM_code/arxiv_dataset/2020/Q3/CAD-PU/tf_ops/grouping/tf_grouping_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2020/Q3/Extending_SSRL_Across_Domains/utils_pytorch.py: invalid syntax (<unknown>, line 58)
Skipped LLM_code/arxiv_dataset/2020/Q3/HLS_NoC/router/gen_iq_wrapper.py: invalid syntax (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2020/Q3/HLS_NoC/router/gen_vc_wrapper.py: invalid syntax (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2020/Q3/HLS_NoC/router/gen_iqsimple_wrapper.py: invalid syntax (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2020/Q3/HLS_NoC/router/gen_vcsimple_wrapper.py: invalid syntax (<unknown>, line 65)
Skipped LLM_code/arxiv_dataset/2020/Q3/FoolsGold/ML/code/ML_iid.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 232)
Skipped LLM_code/arxiv_dataset/2020/Q3/HLS_NoC/router/gen_voq_wrapper.py: invalid syntax (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2020/Q3/FoolsGold/ML/code/ML_iid_new.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 230)
Skipped LLM_code/arxiv_dataset/2020/Q3/pyfriends/src/PyFriends_2MRS.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 44)
Skipped LLM_code/arxiv_dataset/2020/Q3/pyfriends/src/Py2Friends.py: invalid syntax (<unknown>, line 210)
Skipped LLM_code/arxiv_dataset/2020/Q3/pyfriends/src/IAPUC.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 100)
Skipped LLM_code/arxiv_dataset/2020/Q3/pyfriends/src/GM.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 32)
Skipped LLM_code/arxiv_dataset/2020/Q3/SKT/test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2020/Q3/CAP2/cap2/capalyzer/pangea/parsers.py: invalid syntax (<unknown>, line 3)
Skipped LLM_code/arxiv_dataset/2020/Q3/UnrealText/code/UnrealText/client/python/demo.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 4)
