Skipped LLM_code/arxiv_dataset/2023/Q1/DFMGAN/dnnlib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/BASTS/BASTS/meteor-1.5/xray/visualize_alignments.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 14)
Skipped LLM_code/arxiv_dataset/2021/Q1/BASTS/BASTS/meteor-1.5/xray/xray.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 36)
Skipped LLM_code/arxiv_dataset/2021/Q1/hybrid_space/util/get_frameInfo.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 53)
Skipped LLM_code/arxiv_dataset/2021/Q1/ThumbStack/catalog.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 92)
Skipped LLM_code/arxiv_dataset/2021/Q1/ThumbStack/combine_tilec_maps_v1.2.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 68)
Skipped LLM_code/arxiv_dataset/2021/Q1/ThumbStack/driver_tszksz_all_r2_old.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 1415)
Skipped LLM_code/arxiv_dataset/2021/Q1/ThumbStack/generate_mask_pact20200228_r2.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 63)
Skipped LLM_code/arxiv_dataset/2021/Q1/ThumbStack/generate_mask_tilec_v1.2.py: invalid syntax (<unknown>, line 68)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/alchemy/engines/caffe_python_layers.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 62)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/alchemy/tests/utils/type_assert.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 41)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/caffe/examples/pycaffe/layers/pascal_multilabel_datalayers.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 103)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/caffe/src/caffe/test/test_data/generate_sample_data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 31)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/caffe/tools/extra/parse_log.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 168)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/caffe/tools/extra/resize_and_crop_images.py: multiple exception types must be parenthesized (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/caffe/tools/extra/summarize.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 61)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/generateIntermediateResults.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 64)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/python_layers/data/boxSelectionLayerMP.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 251)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/python_layers/data/createGTLayer.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 47)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/spiders/base_coco_ssm_spider.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 220)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/trainSpxRefinedAttMask.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 52)
Skipped LLM_code/arxiv_dataset/2021/Q1/superpixelRefinement/utils.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2021/Q1/Meta-Curriculum/fairseq_cli/eval_lm.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/Meta-Curriculum/fairseq_cli/generate.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/Meta-Curriculum/fairseq_cli/interactive.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/Meta-Curriculum/fairseq_cli/preprocess.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/Meta-Curriculum/fairseq_cli/score.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/Meta-Curriculum/fairseq_cli/setup.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/Meta-Curriculum/fairseq_cli/train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q1/PU-GCN/tf_ops/interpolation/tf_interpolate_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2021/Q1/PU-GCN/tf_ops/interpolation/visu_interpolation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 26)
Skipped LLM_code/arxiv_dataset/2021/Q1/LidarMTL/pcdet/datasets/kitti/kitti_object_eval_python/evaluate.py: invalid syntax (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2021/Q3/LTVRR/lib/modeling/model_builder_fc.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 502)
Skipped LLM_code/arxiv_dataset/2021/Q3/LTVRR/lib/modeling/reldn_heads_fc.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 119)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/loss.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 55)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/main.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/pretrain.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/stream_train_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 172)
Skipped LLM_code/arxiv_dataset/2021/Q3/defer/src/test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 39)
Skipped LLM_code/arxiv_dataset/2021/Q3/alignps/tools/run_train.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q3/DeepConcolic/deepconcolic/ap_lp.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2021/Q3/DeepConcolic/deepconcolic/ap_main.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 28)
Skipped LLM_code/arxiv_dataset/2021/Q3/DeepConcolic/deepconcolic/dbnc_stats.py: invalid syntax (<unknown>, line 273)
Skipped LLM_code/arxiv_dataset/2021/Q3/Robust-f-divergence-measures/CIFAR-10/Estimate/CE_warmup.py: f-string: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 108)
Skipped LLM_code/arxiv_dataset/2021/Q3/Robust-f-divergence-measures/CIFAR-10/Estimate/Estimate_noise.py: f-string: invalid syntax. Perhaps you forgot a comma? (<unknown>, line 108)
Skipped LLM_code/arxiv_dataset/2021/Q3/rcps/hierarchical_imagenet/risk_histogram.py: non-default argument follows default argument (<unknown>, line 147)
Skipped LLM_code/arxiv_dataset/2021/Q3/rcps/proteins/risk_histogram.py: non-default argument follows default argument (<unknown>, line 96)
Skipped LLM_code/arxiv_dataset/2021/Q3/CCT/main_affectnet8.py: expected an indented block after 'for' statement on line 293 (<unknown>, line 295)
Skipped LLM_code/arxiv_dataset/2021/Q3/CCT/main_fplus.py: expected an indented block after 'for' statement on line 306 (<unknown>, line 308)
Skipped LLM_code/arxiv_dataset/2021/Q2/skyb-aim2020-public/dataset.py: unterminated string literal (detected at line 70) (<unknown>, line 70)
Skipped LLM_code/arxiv_dataset/2021/Q2/PISE/model/painet_model_transfer.py: invalid syntax (<unknown>, line 105)
Skipped LLM_code/arxiv_dataset/2021/Q2/DAN/codes/scripts/generate_mod_blur_LR_bic.py: ':' expected after dictionary key (<unknown>, line 36)
Skipped LLM_code/arxiv_dataset/2021/Q2/CME/models/caffe_net.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 27)
Skipped LLM_code/arxiv_dataset/2021/Q2/bangla-tts/bangla_tts.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/lecam-gan/stylegan2/lecam_loss.py: invalid non-printable character U+FEFF (<unknown>, line 16)
Skipped LLM_code/arxiv_dataset/2021/Q2/lecam-gan/third_party/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/calc_metrics.py: expected an indented block after 'if' statement on line 96 (<unknown>, line 97)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/create_samples.py: unmatched ')' (<unknown>, line 239)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/tflib/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/tflib/autosummary.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/tflib/network.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/tflib/ops/__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/tflib/optimizer.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/tflib/tfutil.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/dnnlib/util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/metrics/barcode.py: invalid non-printable character U+200B (<unknown>, line 5)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/training/augment.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/training/loss.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/training/networks.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2021/Q2/Barcode/training/training_loop.py: invalid non-printable character U+FEFF (<unknown>, line 1)
