Skipped LLM_code/arxiv_dataset/2023/Q4/EEG_Riemannian/code/load_data.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 60)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/part_seg/train_one_hot.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 99)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/scannet/pc_util.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 34)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/scannet/preprocessing/collect_scannet_scenes.py: multiple exception types must be parenthesized (<unknown>, line 98)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/scannet/preprocessing/fetch_label_names.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 19)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/scannet/scannet_dataset.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 17)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/scannet/scene_util.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 67)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/scannet/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 103)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/tf_ops/3d_interpolation/tf_interpolate.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 54)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/tf_ops/3d_interpolation/tf_interpolate_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/tf_ops/3d_interpolation/visu_interpolation.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 26)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/tf_ops/grouping/tf_grouping.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 62)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/tf_ops/grouping/tf_grouping_op_test.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 12)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/tf_ops/sampling/tf_sampling.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 82)
Skipped LLM_code/arxiv_dataset/2022/Q2/modelnetc/SimpleView/pointnet2_tf/train.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 133)
Skipped LLM_code/arxiv_dataset/2022/Q2/OA-LICalib/script/liso_plots.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 196)
Skipped LLM_code/arxiv_dataset/2022/Q2/OA-LICalib/script/plot_lidar_intrinsic_data.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 21)
Skipped LLM_code/arxiv_dataset/2022/Q2/OA-LICalib/script/plot_node.py: Missing parentheses in call to 'print'. Did you mean print(...)? (<unknown>, line 56)
Skipped LLM_code/arxiv_dataset/2022/Q2/tilted-cosmology/q_tlcdm.py: unmatched ')' (<unknown>, line 317)
Skipped LLM_code/arxiv_dataset/2022/Q2/OA-Transformer/Visualization/Cross_Modality_Transformer_Visualization/model/text_models/distill_bert.py: expected ':' (<unknown>, line 7)
Skipped LLM_code/arxiv_dataset/2022/Q2/Vid2Burn/models/tsn.py: invalid syntax (<unknown>, line 397)
Skipped LLM_code/arxiv_dataset/2022/Q2/PaddleSpeech/paddlespeech/t2s/exps/tacotron2/normalize.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2022/Q2/smile-pruning/src/utils.py: invalid syntax (<unknown>, line 1)
Skipped LLM_code/arxiv_dataset/2024/Q3/Cross-Attentional-AV-Fusion/models/cam_orig.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 40)
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/local_configs/_base_/datasets/._vspw_repeat2_forFLOW.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/local_configs/_base_/datasets/._vspw_repeat2_forFLOW_newPhotoMetricDistortion.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/mmseg/datasets/.___init__.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/mmseg/datasets/._ivps.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/mmseg/models/backbones/.___init__.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/mmseg/models/backbones/._mit_fast.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/mmseg/models/backbones/._mix_transformer.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2024/Q2/VSS-CFFM/mmseg/models/decode_heads/._segformer_head.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped LLM_code/arxiv_dataset/2021/Q4/GTR/lib/models/DynamicalFusion.py: invalid syntax (<unknown>, line 14)
Skipped LLM_code/arxiv_dataset/2021/Q4/GTR/lib/models/GraphTextualReasoning.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 46)
Skipped LLM_code/arxiv_dataset/2021/Q4/GTR/lib/models/backbones/assets/ic15_eval/rrc_evaluation_funcs.py: multiple exception types must be parenthesized (<unknown>, line 307)
Skipped LLM_code/arxiv_dataset/2021/Q4/GTR/lib/models/backbones/resnet_fpn_deform.py: expected an indented block after function definition on line 98 (<unknown>, line 100)
Skipped LLM_code/arxiv_dataset/2021/Q4/GTR/lib/models/loss.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 45)
Skipped LLM_code/arxiv_dataset/2021/Q4/GTR/main.py: trailing comma not allowed without surrounding parentheses (<unknown>, line 23)
Skipped LLM_code/arxiv_dataset/2021/Q3/code-nerf/src/optimizer.py: unterminated string literal (detected at line 52) (<unknown>, line 52)
