Skipped ./github_code/2021\2019-UGRP-DPoom\easygo\dap.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 73)
Skipped ./github_code/2021\espnet\egs2\fsc\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fsc_challenge\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\fsc_unseen\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\harpervalley\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\hkust\asr1\local\hkust_segment.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\iemocap\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\interspeech2024_dsu_challenge\asr2\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\jsut\tts1\local\prep_segments.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\laborotv\asr1\local\csj_rm_tag.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\librimix\diar1\local\prepare_kaldifiles.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\librispeech\asr2\local\dump_librispeech_alignment_from_textgrid.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\librispeech\asr2\local\measure_teacher_quality.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\libritts\codec1\local\trim_all_silence.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\libritts\speechlm1\local\trim_all_silence.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\asr1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\asr2\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\codec1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\enh_asr1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\lm1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\s2st1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\s2t1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\speechlm1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\spk1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\ssl1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\st1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\tse1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mini_an4\tts2\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\mls\asr2\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\m_ailabs\tts1\local\parse_text.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\portmedia_dom\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\portmedia_lang\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\puebla_nahuatl\asr1\local\construct_dataset.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\puebla_nahuatl\asr1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\puebla_nahuatl\st1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\reverb\asr1\local\filterjson.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\reverb\asr1\local\run_wpe.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\reverb\enh1\local\dot2scp.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\reverb\enh1\local\filterjson.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\reverb\enh1\local\run_wpe.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\ru_open_stt\asr1\local\ru_open_stt_prepare_data.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\sinhala\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slue-voxceleb\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slue-voxceleb\slu1\local\f1_score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slue-voxceleb\slu1\local\generate_asr_files.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slue-voxceleb\slu1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slue-voxpopuli\slu1\local\data_prep_original_slue_format.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slue-voxpopuli\slu1\local\eval_utils.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slue-voxpopuli\slu1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slurp\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slurp\slu1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slurp_entity\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\slurp_spatialized\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\spoken_chatbot_arena\sds1\app.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\stop\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\stop\asr1_pipeline\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\swbd\asr1\local\format_acronyms_dict.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\swbd\asr1\local\map_acronyms_transcripts.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\swbd_da\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\swbd_sentiment\asr1\local\format_acronyms_dict.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\swbd_sentiment\asr1\local\map_acronyms_transcripts.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\swbd_sentiment\asr1\local\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\tedlium2\asr1\local\join_suffix.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\tedlium3\asr1\local\join_suffix.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\tedlium3\asr2\local\join_suffix.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\TEMPLATE\asr1\pyscripts\audio\trim_silence.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\TEMPLATE\asr1\pyscripts\feats\feat-to-shape.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\TEMPLATE\asr1\pyscripts\utils\calculate_rtf.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\TEMPLATE\asr1\pyscripts\utils\get_yaml.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\TEMPLATE\asr1\pyscripts\utils\score_lang_id.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\voxforge\asr1\local\filter_text.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\voxforge\asr1\local\make_trans.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\espnet\egs2\yoloxochitl_mixtec\asr1\local\data_prep.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\fairseq\examples\adaptive_span\truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\FAST\eval\ic15\rrc_evaluation_funcs.py: invalid syntax (<unknown>, line 310)
Skipped ./github_code/2021\FAST\eval\ic15\rrc_evaluation_funcs_v1.py: invalid syntax (<unknown>, line 306)
Skipped ./github_code/2021\FAST\eval\ic15\rrc_evaluation_funcs_v2.py: invalid syntax (<unknown>, line 309)
Skipped ./github_code/2021\Fixed-MAML\supervised.py: invalid syntax (<unknown>, line 15)
Skipped ./github_code/2021\gansformer\dnnlib\util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\loader.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\dnnlib\util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\dnnlib\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\metrics\frechet_inception_distance.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\metrics\inception_score.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\metrics\kernel_inception_distance.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\metrics\metric_main.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\metrics\metric_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\metrics\perceptual_path_length.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\metrics\precision_recall.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\torch_utils\misc.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\torch_utils\persistence.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\torch_utils\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\torch_utils\ops\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\training\dataset.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\training\loss.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\training\networks.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\pytorch_version\training\training_loop.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\training\network.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\gansformer\training\networks.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\interlopers_with_lenstronomy\jvas_nested2.py: invalid syntax (<unknown>, line 209)
Skipped ./github_code/2021\ISL\test.py: invalid syntax (<unknown>, line 27)
Skipped ./github_code/2021\l2hmc-qcd\src\l2hmc\notebooks\pt4dSU3-jukit.py: invalid syntax (<unknown>, line 19)
Skipped ./github_code/2021\MASS\label_processing_tools\ego.py: invalid syntax (<unknown>, line 159)
Skipped ./github_code/2021\MASS\label_processing_tools\lidar_seg_label_cating.py: invalid syntax (<unknown>, line 21)
Skipped ./github_code/2021\MASS\pcdet\datasets\kitti\kitti_object_eval_python\evaluate.py: invalid syntax (<unknown>, line 5)
Skipped ./github_code/2021\MeshGraphormer\src\modeling\bert\file_utils.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\MeshGraphormer\src\modeling\bert\modeling_bert.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\MeshGraphormer\src\modeling\bert\modeling_utils.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\Meta-Curriculum\fairseq_cli\eval_lm.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\Meta-Curriculum\fairseq_cli\generate.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\Meta-Curriculum\fairseq_cli\interactive.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\Meta-Curriculum\fairseq_cli\preprocess.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\Meta-Curriculum\fairseq_cli\score.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\Meta-Curriculum\fairseq_cli\setup.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\Meta-Curriculum\fairseq_cli\train.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\MRCpy\MRCpy\dwgcs.py: unexpected indent (<unknown>, line 453)
Skipped ./github_code/2021\Multi-LiDAR-Placement-for-3D-Detection\OpenPCDet\pcdet\datasets\kitti\kitti_object_eval_python\evaluate.py: invalid syntax (<unknown>, line 5)
Skipped ./github_code/2021\multiobj-scm-cf\src\ml_cfexplainer\utils\blackbox-model-train.py: invalid syntax (<unknown>, line 21)
Skipped ./github_code/2021\multiobj-scm-cf\src\utils\blackbox-model-train.py: invalid syntax (<unknown>, line 21)
Skipped ./github_code/2021\NAST\utils\argparser.py: expected an indented block (<unknown>, line 9)
Skipped ./github_code/2021\neural-data-transformers\scripts\fig_5_lfads_times.py: expected an indented block (<unknown>, line 145)
Skipped ./github_code/2021\NeuralSpeech\FastCorrect\eval_aishell.py: invalid syntax (<unknown>, line 46)
Skipped ./github_code/2021\NeuralSpeech\FastCorrect2\eval_aishell_nbest.py: invalid syntax (<unknown>, line 54)
Skipped ./github_code/2021\OA-Transformer\Visualization\Cross_Modality_Transformer_Visualization\model\text_models\distill_bert.py: invalid syntax (<unknown>, line 7)
Skipped ./github_code/2021\one_layer_lottery_ticket\examples\adaptive_span\truncated_bptt_lm_task.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\OpenMatch\v1\retrievers\DANCE\evaluation\Calculate_Metrics.py: invalid syntax (<unknown>, line 19)
Skipped ./github_code/2021\OpenPCDet\pcdet\datasets\kitti\kitti_object_eval_python\evaluate.py: invalid syntax (<unknown>, line 5)
Skipped ./github_code/2021\ov2slam\Thirdparty\ceres-solver\internal\ceres\generate_bundle_adjustment_tests.py: Missing parentheses in call to 'print'. Did you mean print('Generated', filename)? (<unknown>, line 239)
Skipped ./github_code/2021\PaddleDetection\configs\mot\mtmct\gen_aicity_mtmct_data.py: f-string: invalid syntax (<unknown>, line 49)
Skipped ./github_code/2021\Panoptic-SegFormer\tools\ana_tools\dataset_split.py: invalid syntax (<unknown>, line 15)
Skipped ./github_code/2021\paper-dgmm2021\code\DGMM_release_code\2.BDCN\caffemodel2pytorch\caffe2pytorch.py: invalid syntax (<unknown>, line 44)
Skipped ./github_code/2021\paper-dgmm2021\code\DGMM_release_code\2.BDCN\caffemodel2pytorch\vgg16.py: invalid syntax (<unknown>, line 2)
Skipped ./github_code/2021\PSSAttention\MN(+AS)\scripts\erasing_data.py: Missing parentheses in call to 'print'. Did you mean print(text)? (<unknown>, line 23)
Skipped ./github_code/2021\PSSAttention\MN(+AS)\utils\hooks.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 351)
Skipped ./github_code/2021\py3fst\fst_3d.py: invalid syntax (<unknown>, line 310)
Skipped ./github_code/2021\py3fst\wst_3d.py: invalid syntax (<unknown>, line 216)
Skipped ./github_code/2021\py3fst\networks\highway_network.py: invalid syntax (<unknown>, line 63)
Skipped ./github_code/2021\PyTorch-StudioGAN\src\utils\style_ops\dnnlib\util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\PyTorch-StudioGAN\src\utils\style_ops\dnnlib\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\pytorch_ehr\Pytorch_EHR_Tutorial\Model_Training\pytorch_ehr\main.py: invalid syntax (<unknown>, line 69)
Skipped ./github_code/2021\RainNet\evaluate.py: invalid syntax (<unknown>, line 31)
Skipped ./github_code/2021\RAMA\external\cudaMST\verify_correctness.py: Missing parentheses in call to 'print'. Did you mean print(weight)? (<unknown>, line 24)
Skipped ./github_code/2021\RAMA\external\cudaMST\gpuMST\runTests.py: invalid syntax (<unknown>, line 11)
Skipped ./github_code/2021\RAMA\external\cudaMST\gpuMSTdpk\runTests.py: invalid syntax (<unknown>, line 11)
Skipped ./github_code/2021\RAMA\external\cudaMST\graphData\data\pbbs2dimacs.py: invalid syntax (<unknown>, line 16)
Skipped ./github_code/2021\RAMA\external\cudaMST\parallelKruskal\runTests.py: invalid syntax (<unknown>, line 11)
Skipped ./github_code/2021\RAMA\external\cudaMST\serialMST\runTests.py: invalid syntax (<unknown>, line 11)
Skipped ./github_code/2021\rcps\hierarchical_imagenet\risk_histogram.py: non-default argument follows default argument (<unknown>, line 147)
Skipped ./github_code/2021\rcps\imagenet\risk_histogram.py: non-default argument follows default argument (<unknown>, line 103)
Skipped ./github_code/2021\rcps\proteins\risk_histogram.py: non-default argument follows default argument (<unknown>, line 96)
Skipped ./github_code/2021\REFERS\Fine-tune\VinBigData_Chest_X-ray\predict.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 294)
Skipped ./github_code/2021\REFERS\Pre-train\refers\model_caption.py: cannot assign to function call (<unknown>, line 13)
Skipped ./github_code/2021\repose\lib\utils\meshrenderer\box3d_renderer.py: Missing parentheses in call to 'print'. Did you mean print(self.min_vert,  self.max_vert)? (<unknown>, line 56)
Skipped ./github_code/2021\repose\lib\utils\meshrenderer\scenerenderer.py: invalid syntax (<unknown>, line 50)
Skipped ./github_code/2021\RGBT-detection\code_note.py: expected an indented block (<unknown>, line 4)
Skipped ./github_code/2021\rlscope\src\libs\tensorrt_common6\dumpTFWts.py: Missing parentheses in call to 'print'. Did you mean print("Outputting the trained weights in TensorRT's wts v1 format. This format is documented as:")? (<unknown>, line 74)
Skipped ./github_code/2021\rlscope\src\libs\tensorrt_common7\dumpTFWts.py: Missing parentheses in call to 'print'. Did you mean print("Outputting the trained weights in TensorRT's wts v1 format. This format is documented as:")? (<unknown>, line 40)
Skipped ./github_code/2021\robustdg\data\data_gen_domainbed.py: expected an indented block (<unknown>, line 123)
Skipped ./github_code/2021\SA-ConvONet\scripts\dataset_matterport\build_dataset.py: closing parenthesis ')' does not match opening parenthesis '[' (<unknown>, line 20)
Skipped ./github_code/2021\SepNet\data_process\Preprocess.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 40)
Skipped ./github_code/2021\SepNet\models\._data_loader.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\SepNet\models\._data_process.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\SepNet\util\._assd_evaluation.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\SepNet\util\._dice_evaluation.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\SepNet\util\._pre_process.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\SepNet\util\._train_test_func.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\SepNet\util\._visualize.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
Skipped ./github_code/2021\skyb-aim2020-public\dataset.py: invalid syntax (<unknown>, line 70)
Skipped ./github_code/2021\spear\spear\Implyloss\main.py: invalid syntax (<unknown>, line 7)
Skipped ./github_code/2021\SSL_CR_Histo\eval_Kather_SSL.py: invalid syntax (<unknown>, line 243)
Skipped ./github_code/2021\STSU\baseline\DataProvider\cityscapes.py: Missing parentheses in call to 'print'. Did you mean print('Dataset Options: ', opts)? (<unknown>, line 83)
Skipped ./github_code/2021\STSU\baseline\Models\Encoder\ggnn_feature_encoder.py: Missing parentheses in call to 'print'. Did you mean print("Reloading resnet from: ", path)? (<unknown>, line 29)
Skipped ./github_code/2021\STSU\baseline\Models\Encoder\resnet_skip.py: Missing parentheses in call to 'print'. Did you mean print("Reloading resnet from: ", path)? (<unknown>, line 66)
Skipped ./github_code/2021\STSU\baseline\Models\GGNN\poly_ggnn.py: Missing parentheses in call to 'print'. Did you mean print('Building GGNN Feature Encoder')? (<unknown>, line 37)
Skipped ./github_code/2021\STSU\baseline\Scripts\get_scores.py: Missing parentheses in call to 'print'. Did you mean print('Number of instances')? (<unknown>, line 41)
Skipped ./github_code/2021\STSU\baseline\Scripts\data\change_paths.py: invalid syntax (<unknown>, line 35)
Skipped ./github_code/2021\STSU\baseline\Scripts\prediction\generate_annotation.py: Missing parentheses in call to 'print'. Did you mean print('Building dataloaders')? (<unknown>, line 33)
Skipped ./github_code/2021\STSU\baseline\Scripts\train\train_ce.py: Missing parentheses in call to 'print'. Did you mean print('Building dataloaders')? (<unknown>, line 34)
Skipped ./github_code/2021\STSU\baseline\Scripts\train\train_evaluator.py: Missing parentheses in call to 'print'. Did you mean print('Building dataloaders')? (<unknown>, line 33)
Skipped ./github_code/2021\STSU\baseline\Scripts\train\train_ggnn.py: Missing parentheses in call to 'print'. Did you mean print('Building dataloaders')? (<unknown>, line 34)
Skipped ./github_code/2021\STSU\baseline\Scripts\train\train_rl.py: Missing parentheses in call to 'print'. Did you mean print('Building dataloaders')? (<unknown>, line 34)
Skipped ./github_code/2021\STSU\baseline\Tool\tool.py: Missing parentheses in call to 'print'. Did you mean print('Building dataloaders')? (<unknown>, line 34)
Skipped ./github_code/2021\superpixelRefinement\generateFinalResults.py: Missing parentheses in call to 'print'. Did you mean print("Specified config does not exists, use the default config...")? (<unknown>, line 230)
Skipped ./github_code/2021\superpixelRefinement\generateIntermediateResults.py: Missing parentheses in call to 'print'. Did you mean print("Specified config does not exists, use the default config...")? (<unknown>, line 64)
Skipped ./github_code/2021\superpixelRefinement\generateSpxJson.py: invalid syntax (<unknown>, line 40)
Skipped ./github_code/2021\superpixelRefinement\trainSpxRefinedAttMask.py: Missing parentheses in call to 'print'. Did you mean print("The config file does not exist, use the default config...")? (<unknown>, line 52)
Skipped ./github_code/2021\superpixelRefinement\utils.py: Missing parentheses in call to 'print'. Did you mean print('dropping', p)? (<unknown>, line 21)
Skipped ./github_code/2021\superpixelRefinement\alchemy\engines\caffe_python_layers.py: invalid syntax (<unknown>, line 62)
Skipped ./github_code/2021\superpixelRefinement\alchemy\tests\utils\type_assert.py: Missing parentheses in call to 'print'. Did you mean print("API changes")? (<unknown>, line 41)
Skipped ./github_code/2021\superpixelRefinement\caffe\examples\pycaffe\layers\pascal_multilabel_datalayers.py: invalid syntax (<unknown>, line 103)
Skipped ./github_code/2021\superpixelRefinement\caffe\src\caffe\test\test_data\generate_sample_data.py: Missing parentheses in call to 'print'. Did you mean print(data)? (<unknown>, line 31)
Skipped ./github_code/2021\superpixelRefinement\caffe\tools\extra\parse_log.py: Missing parentheses in call to 'print'. Did you mean print('Wrote %s' % output_filename)? (<unknown>, line 168)
Skipped ./github_code/2021\superpixelRefinement\caffe\tools\extra\resize_and_crop_images.py: invalid syntax (<unknown>, line 98)
Skipped ./github_code/2021\superpixelRefinement\caffe\tools\extra\summarize.py: Missing parentheses in call to 'print'. Did you mean print(row_str)? (<unknown>, line 61)
Skipped ./github_code/2021\superpixelRefinement\python_layers\data\boxSelectionLayerMP.py: invalid syntax (<unknown>, line 251)
Skipped ./github_code/2021\superpixelRefinement\python_layers\data\createGTLayer.py: Missing parentheses in call to 'print'. Did you mean print('key not found', maskID)? (<unknown>, line 47)
Skipped ./github_code/2021\superpixelRefinement\spiders\base_coco_ssm_spider.py: invalid syntax (<unknown>, line 220)
Skipped ./github_code/2021\SyGNS\scripts\DRS_parsing\contrast_clfs.py: invalid syntax (<unknown>, line 78)
Skipped ./github_code/2021\SyGNS\scripts\DRS_parsing\phenomena_stats_clf.py: Missing parentheses in call to 'print'. Did you mean print(i, op, raw)? (<unknown>, line 62)
Skipped ./github_code/2021\SyReNN\models\vrl\DDPG.savenet.py: Missing parentheses in call to 'print'. Did you mean print('sess has been stored to', args['model_path'])? (<unknown>, line 357)
Skipped ./github_code/2021\thread-pool\scripts\compile_cpp.py: f-string: expecting '}' (<unknown>, line 335)
Skipped ./github_code/2021\torchprune\src\torchprune\torchprune\util\external\cnn\cifar.py: invalid syntax (<unknown>, line 246)
Skipped ./github_code/2021\torchprune\src\torchprune\torchprune\util\external\cnn\imagenet.py: invalid syntax (<unknown>, line 240)
Skipped ./github_code/2021\unified-focal-loss\loss_functions.py: expected an indented block (<unknown>, line 262)
Skipped ./github_code/2021\unlu\codes\rnn_training\Non_transformers_probe.py: invalid syntax (<unknown>, line 102)
Skipped ./github_code/2021\unlu\infersent_comp\encoder\models.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\UnsupClean\unsupclean.py: Missing parentheses in call to 'print'. Did you mean print("Done")? (<unknown>, line 364)
Skipped ./github_code/2021\VaccinItaly\ct_collector.py: expected an indented block (<unknown>, line 108)
Skipped ./github_code/2021\vit-search\search_utils\compute_flop_mac.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\vlt_dwarf\code\meas_code\heliocorr.py: Missing parentheses in call to 'print'. Did you mean print('using long/lat/alt instead of named observatory')? (<unknown>, line 57)
Skipped ./github_code/2021\vlt_dwarf\code\redux_code\giraffe_spec_combine.py: Missing parentheses in call to 'print'. Did you mean print(merge_list[kk])? (<unknown>, line 52)
Skipped ./github_code/2021\vlt_dwarf\code\redux_code\giraffe_spec_shift_fit.py: invalid syntax (<unknown>, line 25)
Skipped ./github_code/2021\vlt_dwarf\code\redux_code\giraffe_spec_sky_remove_adjust_width.py: Missing parentheses in call to 'print'. Did you mean print(scipy.version.version)? (<unknown>, line 20)
Skipped ./github_code/2021\vlt_dwarf\code\redux_code\giraffe_spec_snr_cal.py: invalid syntax (<unknown>, line 3)
Skipped ./github_code/2021\vlt_dwarf\code\redux_code\heliocorr.py: Missing parentheses in call to 'print'. Did you mean print('using long/lat/alt instead of named observatory')? (<unknown>, line 57)
Skipped ./github_code/2021\vlt_dwarf\code\redux_code\list_target_info.py: Missing parentheses in call to 'print'. Did you mean print("#   fiber            ra             dec          object     type    mag")? (<unknown>, line 16)
Skipped ./github_code/2021\vlt_dwarf\code\redux_code\robust_polyfit.py: Missing parentheses in call to 'print'. Did you mean print("Note that for the outlier rejection, BisquareLimit=3.0 is used")? (<unknown>, line 33)
Skipped ./github_code/2021\weblyFG-dataset\demo.py: invalid syntax (<unknown>, line 61)
Skipped ./github_code/2021\WhenPigsFlyContext\Cut-Paste\training-code\densenet\unit_tests\._metric_tests.py: 'utf-8' codec can't decode byte 0xb0 in position 37: invalid start byte
